Date,Open,High,Low,Close,Adj Close,Volume
7/22/2019,268,268.200012,264,264.399994,251.469803,13516960
7/23/2019,265.5,271.700012,265,270.649994,257.414154,14396986
7/24/2019,270.299988,273.350006,267.899994,270.850006,257.604401,12072603
7/25/2019,271,272.5,266.899994,267.850006,254.751099,17669912
7/26/2019,268.75,271,266.899994,270.399994,257.176392,4788040
7/29/2019,270,271.149994,266.5,267.75,254.655991,5525308
7/30/2019,268,270.100006,266.549988,268.899994,255.749741,13233351
7/31/2019,268.600006,271.100006,266,270.200012,256.986176,13649764
8/1/2019,270.450012,270.700012,266.5,267.549988,254.465759,5925611
8/2/2019,267.200012,267.200012,263.100006,264.5,251.564926,8890911
8/5/2019,264.399994,264.5,257.649994,259.799988,247.094757,11556743
8/6/2019,258.75,261.5,258.149994,258.899994,246.238785,9408544
8/7/2019,259.049988,259.350006,253.100006,253.649994,241.245529,8489812
8/8/2019,255,258.700012,253,257.75,245.14502,6370866
8/9/2019,258.850006,258.850006,253.5,254.199997,241.768631,9927337
8/13/2019,253.800003,254,244,246.300003,234.254974,20992894
8/14/2019,246.300003,253.600006,244.050003,248.75,236.585159,13809031
8/16/2019,248.75,253.399994,247.399994,253,240.627319,10337358
8/19/2019,253.5,257.299988,250.949997,251.550003,239.24823,12524627
8/20/2019,251.600006,251.949997,245.449997,246.5,234.44519,15000271
8/21/2019,246.699997,246.899994,240.850006,241.449997,229.642151,14736226
8/22/2019,242.199997,246,239,240.050003,228.310623,10513066
8/23/2019,239,239.449997,234.649994,236.100006,224.553802,16440329
8/26/2019,240.699997,243.449997,234.949997,242.5,230.640808,12857092
8/27/2019,243.949997,246.300003,242.699997,245.5,233.494095,14529777
8/28/2019,246.149994,247.649994,243.100006,245.949997,233.922089,8894489
8/29/2019,243.949997,245.449997,240.149994,241.199997,229.404373,11105245
8/30/2019,242.75,247.199997,239.050003,245.649994,233.636749,11772247
9/3/2019,244.449997,244.449997,240.649994,241.550003,229.737274,9546229
9/4/2019,241.600006,244.550003,241.300003,243.25,231.354126,7032392
9/5/2019,242,246.899994,242,244.25,232.305222,8451611
9/6/2019,244.300003,245.850006,243.25,243.899994,231.972336,8704669
9/9/2019,244.649994,246.5,243.199997,245.5,233.494095,9085228
9/11/2019,244.600006,245.449997,243,243.75,231.829681,8968683
9/12/2019,244.300003,245,240,240.75,228.976395,8083759
9/13/2019,241,242.449997,238.600006,239.899994,228.167953,14031943
9/16/2019,239.5,240.850006,238.300003,239.399994,227.692398,7084644
9/17/2019,239.800003,240.100006,236.800003,237.199997,225.599991,10672279
9/18/2019,237.699997,242.300003,234.050003,239.25,227.549744,19956339
9/19/2019,239.949997,239.949997,236.100006,236.699997,225.124451,8483309
9/20/2019,237,248.5,234.300003,238.050003,226.408432,63568127
9/23/2019,250,260.5,249.899994,254.850006,242.386856,52040316
9/24/2019,255,258,253.800003,256,243.480606,17167257
9/25/2019,255.100006,256.25,242.699997,247.550003,235.443848,20597095
9/26/2019,247.300003,251.399994,246.25,250.399994,238.154465,17847616
9/27/2019,250,258,250,252.949997,240.579758,17535666
9/30/2019,254.75,260.799988,249.399994,259.850006,247.142334,20588289
10/1/2019,259.100006,262.450012,255,255.899994,243.385498,15440899
10/3/2019,257.700012,262.149994,256.049988,261.649994,248.854294,12356337
10/4/2019,263,263.899994,255.199997,257.25,244.669479,18085064
10/7/2019,257.5,258,250.699997,251.899994,239.5811,21263568
10/9/2019,251.300003,252.199997,246.300003,247.100006,235.015854,21503869
10/10/2019,247,247.649994,242.649994,243.199997,231.30658,24294966
10/11/2019,243.199997,246.199997,241.100006,243.949997,232.019897,25072193
10/14/2019,245.449997,246.399994,243,244.100006,232.162567,14713799
10/15/2019,245.050003,249.199997,245.050003,247.600006,235.491409,9989191
10/16/2019,247.399994,247.600006,242.149994,243.649994,231.734558,16063295
10/17/2019,244,246.699997,243.850006,245.850006,233.826981,13649598
10/18/2019,246,247.800003,245.100006,246.5,234.44519,12833554
10/22/2019,245,251.100006,244.949997,248.899994,236.727814,18275636
10/23/2019,250.399994,251.949997,249.050003,251.050003,238.77269,12831461
10/24/2019,252.600006,254,247.949997,249.050003,236.870483,16791340
10/25/2019,256.899994,257.200012,247,247.699997,235.586502,32591192
10/29/2019,250.949997,255.100006,249.550003,253.25,240.865097,11937562
10/30/2019,256,264,254.300003,259.399994,246.714325,34291157
10/31/2019,260,262.850006,256.200012,257.649994,245.049911,16654994
11/1/2019,259.350006,263,258.75,261.299988,248.521408,12571588
11/4/2019,262.950012,264.950012,260.049988,260.75,247.998306,7895272
11/5/2019,261,264,258.600006,262.899994,250.043167,10278362
11/6/2019,262.950012,263.799988,260,261.350006,248.56897,8857419
11/7/2019,262.899994,266.299988,262,265.850006,252.848907,14782434
11/8/2019,264.850006,265.450012,260,260.5,247.760544,11899353
11/11/2019,260.600006,262.350006,258.799988,259.450012,246.761902,7245151
11/13/2019,258.899994,259.25,253.149994,253.850006,241.43576,10269356
11/14/2019,254.100006,255.899994,253.25,253.899994,241.483292,8880734
11/15/2019,254.25,255.75,250,250.649994,238.392242,16741465
11/18/2019,251.449997,252.25,248.75,250.75,238.48735,7864919
11/19/2019,251.75,251.800003,248.800003,249.300003,237.108261,12152981
11/20/2019,249.300003,251.300003,246.699997,250.699997,238.439789,9978073
11/21/2019,251.399994,251.399994,245.050003,245.699997,233.684311,10393219
11/22/2019,247.149994,252.649994,246.649994,247.649994,235.53894,16370384
11/25/2019,247.75,248.399994,246.25,247.75,235.634064,10586688
11/26/2019,248.649994,250.399994,247.699997,249.149994,236.965591,19778030
11/27/2019,249.75,250.050003,246.600006,246.949997,234.873184,8841620
11/28/2019,247.300003,247.949997,245.649994,246.699997,234.635406,10992718
11/29/2019,246.75,247.399994,245,246.399994,234.350082,9807979
12/2/2019,246,246.899994,244.550003,244.949997,232.970993,9972664
12/3/2019,244.949997,245.800003,242.649994,244.050003,232.115005,8129241
12/4/2019,243.5,244.050003,242,243.149994,231.259018,11946661
12/5/2019,243.149994,247.5,243.100006,246.949997,234.873184,11265857
12/6/2019,247,247.149994,242.5,243.350006,231.449249,10374270
12/9/2019,243,243.300003,241,241.449997,229.642151,6722758
12/10/2019,241.600006,241.699997,235,235.600006,224.078247,15380232
12/11/2019,235.600006,238.800003,235.600006,237.600006,225.980438,13799825
12/12/2019,238.050003,240.199997,237.600006,238.550003,226.883987,10307052
12/13/2019,240,242.5,239.199997,241.600006,229.784821,8205457
12/16/2019,243,243.399994,236.350006,236.899994,225.314667,12014269
12/17/2019,237.5,241.699997,237.5,241.050003,229.261719,15921196
12/18/2019,240.600006,247.350006,239.75,245.149994,233.161209,17134732
12/19/2019,246.050003,247.899994,243.25,244.350006,232.400345,9339714
12/20/2019,244.350006,245.100006,240.149994,241.149994,229.356827,13958336
12/23/2019,242,242.800003,238.649994,238.899994,227.216858,19082124
12/24/2019,239,240.199997,238.199997,238.75,227.074203,7896150
12/26/2019,238.899994,239.399994,236.350006,236.800003,225.219559,14460325
12/27/2019,237.5,238.449997,236.449997,236.899994,225.314667,8712539
12/30/2019,238,240.899994,237.5,238.199997,226.551086,13173134
12/31/2019,238.550003,238.949997,237.399994,237.699997,226.075546,7142051
1/1/2020,238.600006,238.600006,237.100006,238.100006,226.455994,4208837
1/2/2020,238.199997,240.949997,238.100006,239.850006,228.120407,8402979
1/3/2020,241,241,238,238.5,226.836426,9284478
1/6/2020,237.5,238.300003,235,235.100006,223.602707,7636617
1/7/2020,236.050003,237.899994,234.600006,235.350006,223.840485,8416741
1/8/2020,234,235.800003,233.25,234.199997,222.746704,7043211
1/9/2020,235.600006,236.600006,235.050003,235.800003,224.268463,9452653
1/10/2020,237.600006,238.75,236.800003,238,226.36087,9973746
1/13/2020,238.5,240.5,238.25,239.25,227.549744,12243639
1/14/2020,240.25,243.800003,238.300003,243.25,231.354126,11843444
1/15/2020,242.550003,243,241.100006,242.399994,230.5457,5476729
1/16/2020,242.5,243.899994,240.100006,240.75,228.976395,9369668
1/17/2020,240.75,242.100006,239.399994,239.949997,228.215515,7392403
1/20/2020,240.050003,243.25,240.050003,241.899994,230.070145,8020816
1/21/2020,241.449997,241.449997,238,238.449997,226.788864,9571070
1/22/2020,239.600006,239.600006,237.100006,238.050003,226.408432,7654918
1/23/2020,238.100006,238.75,236.899994,237.899994,226.265762,6120434
1/24/2020,237.399994,239.100006,237,238.149994,226.50354,6801874
1/27/2020,237,237.399994,234.300003,234.600006,223.127151,6837613
1/28/2020,234.75,235.899994,230.5,230.75,219.465424,14582907
1/29/2020,231.5,237.649994,231.149994,236.649994,225.076889,20469708
1/30/2020,236.949997,237,233,234.050003,222.60405,10394149
1/31/2020,235.75,238.399994,234.050003,235.149994,223.650253,18455880
2/3/2020,215,216.899994,205,207.600006,197.447556,79764370
2/4/2020,210.800003,217.600006,209.149994,215.649994,205.103867,35767812
2/5/2020,216.300003,217.5,211.5,216.449997,205.864746,21253607
2/6/2020,218,219.899994,211.800003,213.550003,203.106583,27388582
2/7/2020,213.800003,215.699997,212.75,213.399994,202.963913,17133407
2/10/2020,214,214.050003,210.050003,210.550003,200.253296,9617387
2/11/2020,216.5,216.949997,211.800003,212.600006,202.203033,29803784
2/12/2020,213.399994,214.800003,211.800003,213.050003,202.631027,9928416
2/13/2020,213.050003,213.449997,211.199997,211.899994,201.537262,9153131
2/14/2020,212.25,212.899994,206.800003,207.699997,197.542664,13731692
2/17/2020,208,208.649994,204,204.800003,194.784485,15561953
2/18/2020,204.550003,204.600006,200.5,203.850006,193.880951,20934864
2/19/2020,205.25,207.149994,203.850006,206.699997,196.591568,9054560
2/20/2020,207,208.550003,205.449997,207.449997,197.304886,15592846
2/24/2020,207,207.449997,201.800003,203,193.07251,16594046
2/25/2020,203.800003,205.399994,201.5,201.800003,191.931198,15313516
2/26/2020,200.649994,201.949997,196.300003,198.600006,188.887695,17869240
2/27/2020,198.399994,199.149994,195.899994,197.550003,187.889038,17271066
2/28/2020,195,199.899994,192.050003,197.550003,187.889038,32628444
3/2/2020,199.5,203.449997,193.649994,195.300003,185.749069,18560049
3/3/2020,197,197.449997,192.550003,193.850006,184.369995,17947416
3/4/2020,194.949997,195.550003,186.550003,187.5,178.330521,27664076
3/5/2020,187.550003,191.199997,186.550003,188.050003,178.853622,20025924
3/6/2020,184.850006,184.850006,179.75,181.75,172.861725,26764504
3/9/2020,179,179,174.5,177.199997,168.534225,21794299
3/11/2020,174,176.75,172.350006,175.649994,167.060028,27956087
3/12/2020,169,169.149994,150.550003,155.800003,148.180771,52039692
3/13/2020,150,164,134.600006,162.25,154.315338,61590681
3/16/2020,158,158.100006,145.25,147.25,140.048904,33254907
3/17/2020,148,155.800003,146.050003,149.149994,141.855988,47657482
3/18/2020,152.100006,154.649994,147.350006,150.699997,143.330185,50243331
3/19/2020,150.699997,163.550003,144.75,161.850006,153.934906,89748454
3/20/2020,165.100006,176.5,165.100006,175.5,166.917374,61996400
3/23/2020,158,162,149.199997,154.300003,146.754135,51353150
3/24/2020,162.949997,163.699997,147.399994,149.699997,142.379089,52552796
3/25/2020,151,152,139,147.350006,140.144012,62505978
3/26/2020,150,159.399994,143.25,156.399994,148.751434,58443451
3/27/2020,162,166,155,163.199997,155.218887,32636484
3/30/2020,156.050003,164.899994,156.050003,159.199997,151.414505,28120340
3/31/2020,164,173.850006,161.550003,171.699997,163.303207,42630666
4/1/2020,171.699997,172.75,164.550003,166.399994,158.26239,18141970
4/3/2020,167.899994,182.75,167,177.899994,169.199997,62867436
4/7/2020,185.699997,185.699997,173.649994,181.550003,172.671509,36118591
4/8/2020,180.850006,184,176.649994,178.649994,169.913315,37561082
4/9/2020,184,186.25,180,185.25,176.190552,42626960
4/13/2020,184.5,186.649994,181.050003,181.600006,172.719055,17744169
4/15/2020,184.050003,193.75,182.699997,189.350006,180.090057,49092699
4/16/2020,189.649994,191.199997,185.449997,186.350006,177.236771,27080032
4/17/2020,190.449997,191.399994,186.949997,188.100006,178.901184,26667421
4/20/2020,189.949997,189.949997,179.5,180.699997,171.863068,35764287
4/21/2020,178,184.300003,176.050003,179.600006,170.816864,23333661
4/22/2020,179,183.550003,176,182.25,173.337265,25163402
4/23/2020,182.949997,184,179.649994,180.550003,171.720413,32968029
4/24/2020,181,182.800003,179.300003,180.050003,171.244858,18049697
4/27/2020,180.25,182.300003,179.300003,179.850006,171.054642,13085703
4/28/2020,180,180.800003,178.050003,179.449997,170.674194,17802635
4/29/2020,180.5,182.899994,179.649994,182.149994,173.242157,21461067
4/30/2020,184.899994,184.899994,180.449997,182.050003,173.147049,30164713
5/4/2020,181.75,181.75,170.649994,174.050003,165.538284,30294317
5/5/2020,175,177.449997,172,173.899994,165.395615,17707577
5/6/2020,171.399994,171.399994,160.5,163.899994,155.884644,65586734
5/7/2020,164,165.850006,160.5,161,153.12648,24249585
5/8/2020,163.949997,164.149994,157.100006,158.25,150.510956,25307015
5/11/2020,160,163.5,158,158.449997,150.701172,18095473
5/12/2020,158.449997,165.899994,157.5,165.050003,156.978424,21387527
5/13/2020,173.399994,173.600006,164.5,165.399994,157.311295,20015124
5/14/2020,164.5,168.25,161.949997,163.800003,155.789551,14949993
5/15/2020,162.199997,165.5,161.149994,164.649994,156.597977,14950243
5/18/2020,166,167.300003,163.149994,164.75,156.693085,20801299
5/19/2020,166.5,171.649994,165.100006,170.75,162.399658,20142171
5/20/2020,171.949997,177,171,175.75,167.155136,25320734
5/21/2020,175.600006,190.449997,172.649994,188.949997,179.70961,58382197
5/22/2020,188,191.899994,184.600006,186.350006,177.236771,39013770
5/26/2020,190,194.949997,187.800003,191.699997,182.325119,53233404
5/27/2020,192.5,193.899994,186.899994,192.149994,182.753113,24546119
5/28/2020,192.300003,192.899994,189,190.649994,181.326462,24578072
5/29/2020,190.449997,198,189,197.350006,187.698822,35834621
6/1/2020,201,205.25,199,200.550003,190.742325,28508405
6/2/2020,201.899994,201.899994,196.699997,197.25,187.603714,22631373
6/3/2020,200,200.899994,195.600006,196.699997,187.080597,18979188
6/4/2020,197.75,202.5,195,200.149994,190.361877,21996048
6/5/2020,201.800003,202,198.649994,200,190.219223,14629659
6/8/2020,202.899994,203.649994,197,197.649994,187.984146,19551313
6/9/2020,198.25,206.199997,197.649994,198.5,188.792572,39914264
6/10/2020,199.449997,203.149994,198.300003,199.050003,189.315689,27199665
6/11/2020,200,201.25,193.600006,194.25,184.750427,19847133
6/12/2020,188.949997,195.199997,187.850006,193.899994,184.417526,22562768
6/15/2020,193.899994,193.949997,186.300003,187.199997,178.045197,24462536
6/16/2020,190.800003,190.949997,181.899994,185,175.952789,27636105
6/17/2020,184,185,180.699997,181.199997,172.338608,24027295
6/18/2020,181.199997,187.5,180.699997,186.600006,177.474548,28887489
6/19/2020,187.100006,187.949997,183.600006,184.050003,175.04924,30531449
6/22/2020,186.5,187.5,183.149994,185,175.952789,31395991
6/23/2020,185.399994,187.5,184.75,185.850006,176.761215,26546793
6/24/2020,187.399994,194.699997,186.149994,191.850006,182.467789,54652978
6/25/2020,192.25,203.5,191.649994,202.100006,192.216537,75574255
6/26/2020,206,209.399994,193.300003,195.199997,185.653961,71956002
6/29/2020,202.5,203,196.199997,197.25,187.603714,91503336
6/30/2020,199.399994,199.399994,194,194.649994,185.130859,41210494
7/1/2020,194.649994,203.850006,194.649994,202.899994,192.977402,44297953
7/2/2020,204.449997,206.75,202.550003,205.850006,195.783142,39320871
7/3/2020,208,208.5,206,207.550003,197.400009,37893277
7/6/2020,200.350006,201.949997,198.949997,199.800003,199.800003,34710176
7/7/2020,200,200.5,194,194.25,194.25,31263172
7/8/2020,194.25,197.949997,194.25,196.300003,196.300003,21274354
7/9/2020,196.899994,197,194.149994,195.449997,195.449997,18769502
7/10/2020,195.149994,196.5,194,194.350006,194.350006,16191544
7/13/2020,195.899994,198.75,195.100006,197.550003,197.550003,20297515
7/14/2020,197.399994,199.5,192.75,195.899994,195.899994,18474376
7/15/2020,196.350006,200,194.5,198.699997,198.699997,23776757
7/16/2020,198.699997,198.850006,192,193.850006,193.850006,22144320
7/17/2020,193.300003,195.399994,193,194.050003,194.050003,14882294
7/20/2020,195,195.350006,192.350006,192.699997,192.699997,18914963
7/21/2020,192.100006,194.199997,191.5,192.25,192.25,13350760
